Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
134836,5688215d-d062-4f4a-8582-355875d48cd1,,,,,,M,,C,2016-09-02 00:00:00,8,119,6,1,,,,,,,,,4,
100201,4e4a3e3d-8efd-4f18-9b70-1fae78208b93,,,,,,F,,Leaver,2016-09-05 00:00:00,12,139,1,2,,,,,,,,,5,
258617,7499099d-220a-43a8-bd52-ed7628295c84,,,,,,F,,C,2019-11-18 00:00:00,10,141,,3,,,,,,,,,,
182204,d369a796-9d2c-4705-ada5-884d8b594d4b,,,,,,M,,C,2017-09-06 00:00:00,12,129,,,,,,,,4,,,6,
189900,23840ac7-fcc1-4c43-8d27-53591b4695ce,,,,,,F,,C,2015-09-04 00:00:00,8,144,8,,,,,,,,,,4,
174929,026a82d4-183c-458f-8fa5-328f6bdee5ea,,,,,,M,,C,2018-09-07 00:00:00,8,137,,,,,,,,,,,,
264396,23db9561-944e-4048-9e1f-c1e680f6c4fc,,,,,,M,,C,2019-09-04 00:00:00,9,146,12,,,,,,,,,,,
198122,fc140949-1624-409c-802f-86c470bfa957,,,,,,F,,C,2019-09-02 00:00:00,9,125,,,,,,,,,,,,
139813,e8f0ad4b-7c73-4496-8d84-5aef5cebdde0,,,,,,M,,C,2019-09-04 00:00:00,8,120,,2,,,,,,,,,,
191601,ae47cbce-59ba-453d-81ac-448e2b199791,,,,,,M,,C,2015-09-03 00:00:00,8,138,14,,,,,,,4,,,4,
195305,31331063-ca51-4348-a94a-f371d3e3152a,,,,,,F,,C,2018-09-05 00:00:00,11,120,6,1,,,,,,,,,,
