Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,TermlySessionsAuthorised,TermlySessionsUnauthorised,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_F,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
193311,0d5a3cb8-0d68-41a2-bb39-f1dc6b2b881e,,,,,,F,,C,2012-09-04 12:00:00,11,131,4,0,4,2,0,3,1,1,0,0,2,0,0,0,0
170323,0d6334c7-f3b9-4043-8f61-c4a7822a0e9c,,,,,,F,,C,2011-09-05 12:00:00,8,92,4,0,6,2,0,16,0,1,0,0,6,1,0,1,0
221443,54f771be-a769-4654-973a-b659fcd512a3,,,,,,M,,C,2012-09-01 12:00:00,9,112,1,0,6,1,0,22,2,0,0,1,0,1,0,6,0
248270,446764d2-b2ab-4508-853e-cbc1c571f48a,,,,,,F,,C,2010-09-02 12:00:00,12,109,0,0,7,0,0,12,1,0,0,2,1,1,0,7,0
157448,ea064070-803c-4580-b1a6-3f2bee1f4e40,,,,,,M,,C,2013-09-05 12:00:00,8,93,1,0,4,2,0,32,0,1,0,2,1,2,0,8,0
179977,7a7f914c-2d15-4af6-9a3f-2c378d61aa49,,,,,,F,,C,2011-09-05 12:00:00,10,72,6,0,0,1,0,35,0,1,0,1,4,0,0,2,0
183957,171ad604-ac0f-49fd-89a1-9c41812ae3ca,,,,,,M,,C,2010-09-02 12:00:00,12,79,6,0,3,1,0,25,1,0,0,1,3,0,0,6,0
176675,cd367cbc-cdab-43fe-add8-1b114d011607,,,,,,M,,C,2010-09-01 12:00:00,8,113,6,0,1,0,0,28,1,0,0,0,0,3,0,0,0
134438,e1d9156b-da4a-4b69-95a6-604af492ccca,,,,,,F,,C,2013-09-01 12:00:00,7,94,0,0,0,1,0,42,2,0,0,1,4,1,0,2,0
144059,f7b2f1b9-6aee-4c90-93d7-2e891250a61c,,,,,,F,,C,2013-09-03 12:00:00,12,124,2,0,7,2,0,23,0,0,0,1,2,0,1,2,0
172971,f8bdc638-2267-45e2-b7b5-30875b6d60da,,,,,,M,,C,2009-09-01 12:00:00,9,133,8,0,5,0,0,7,0,1,0,3,1,1,0,3,0
136686,7f095583-ae18-4335-a4e5-2da2eba7050a,,,,,,M,,C,2012-09-06 12:00:00,9,126,5,0,13,3,0,4,0,1,0,0,5,4,0,6,0
208621,616743a3-9051-492d-8572-5816e4fd3d03,,,,,,F,,C,2013-09-04 12:00:00,12,70,2,0,7,1,0,17,0,0,0,1,2,3,0,3,0
212460,0d0f8eed-6163-437e-a579-2c1911c55270,,,,,,F,,C,2011-09-05 12:00:00,8,102,2,0,9,0,0,12,1,1,0,1,5,2,0,5,0
257966,08a04b30-d035-4e1a-98db-97b78f3eff1e,,,,,,F,,Leaver,2009-09-03 12:00:00,7,78,2,0,6,1,0,15,1,0,0,1,5,1,0,2,0
