Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
207252,69bd9586-20b7-4d74-94b0-9b42269eb515,,,,,,F,,C,2013-09-03 00:00:00,8,105,3,,,33,,,,8,,,,
221323,a4189d17-2c1b-4582-870d-121e7cdfd8df,,,,,,M,,Leaver,2016-09-02 00:00:00,Leaver,126,,,,47,,,,1,,,,
179692,6537691e-aa85-4478-a333-ac3681b53a0b,,,,,,M,,C,2015-09-03 00:00:00,10,110,9,,,32,,,,,,,,
142434,472fe7ba-c21e-4dde-a923-018e9f122d4a,,,,,,M,,C,2017-09-06 00:00:00,8,127,4,2,,,,,,5,,,,
183777,6f5d1fca-48ae-4bbb-8136-34001649827b,,,,,,F,,C,2017-09-06 00:00:00,10,130,,1,2,,,,,,,,,
212239,c8fde6b9-ba6d-4fd7-ac64-4beaad105cf6,,,,,,M,,Leaver,2017-09-06 00:00:00,10,122,3,2,2,,,,,4,,,8,
143728,1a2688a1-0870-4942-9a05-efdf32150091,,,,,,F,,C,2016-09-02 00:00:00,8,128,3,1,,,,,,,,,,
199934,7a3b5c48-3c46-45ac-ae93-e1a623ee0c7f,,,,,,M,,C,2017-11-26 00:00:00,Leaver,119,1,,,36,,,,1,,,,
272232,0963f816-9a29-49f7-a648-9930e20a7708,,,,,,M,,C,2015-09-01 00:00:00,9,118,,1,,,,,,,,,8,
275803,e9329414-0c6c-44b6-b47b-0084e8c46c0c,,,,,,F,,C,2013-09-05 00:00:00,8,126,13,1,,,,,,,,,,
201068,519712f9-40dc-45b1-bb4a-0685b4c7693c,,,,,,F,,C,2017-09-06 00:00:00,8,129,9,,,,,,,,,,,
187166,ba77d924-c22a-49a2-80fd-d29056858c3c,,,,,,M,,C,2013-09-05 00:00:00,10,127,1,,,,,,,,,,,
196465,7bc9c9d0-1d80-4f00-b6af-45f81e33fbe2,,,,,,F,,C,2015-09-01 00:00:00,11,131,3,,,,,,,,,,,
134403,7e7a28c1-4dbb-4bb1-9706-8367883791e6,,,,,,F,,C,2014-09-05 00:00:00,11,105,,,,,,,,,,,,
140077,4c00db24-5617-46eb-a123-76c12cb373bc,,,,,,F,,C,2015-09-01 00:00:00,10,108,,,,,,,,,,,,
159209,9d737576-6ea3-4936-b9bf-82959fe55c20,,,,,,M,,C,2014-09-04 00:00:00,8,120,,,,,,,,,,,,
171802,e5d023f6-64a9-460c-95f4-b507aca99382,,,,,,M,,C,2016-09-05 00:00:00,9,122,,,,,,,,,,,,
166418,0d0b9481-df65-48fd-a676-d4308ba8bba2,,,,,,M,,C,2015-09-01 00:00:00,10,128,2,3,,,,,,,,,,
162440,278ed11f-5c4a-414b-ba17-31d33aa937c4,,,,,,M,,C,2015-09-04 00:00:00,10,121,11,2,,,,,,5,,,,
175725,5e97ee1e-0694-4534-92a0-f177f6d5646f,,,,,,M,,C,2016-09-05 00:00:00,10,119,4,,,,,,,,,,,
157051,06c46ad6-8bc2-4c30-a278-5cb48b70107c,,,,,,M,,C,2016-09-01 00:00:00,9,131,3,1,,,,,,,,,,
168187,4faa6623-8e48-4180-b12f-7d85cee682d6,,,,,,M,,C,2015-09-01 00:00:00,8,122,,1,2,,,,,,,,2,
233118,526faa35-3f9e-407a-aa78-e1f4ab208b13,,,,,,F,,C,2017-09-06 00:00:00,8,128,3,,,,,,,,,,,
173497,ff32afb9-b446-427c-9898-23822d213f1a,,,,,,M,,C,2016-09-01 00:00:00,8,121,3,,,,,,,,,,,
161426,dab0445a-b65b-47b8-b494-0505fd367ab6,,,,,,F,,C,2016-09-02 00:00:00,12,129,,,,,,,,,,,,
256904,e6a9f09b-10f9-4656-97a5-f722a25a0317,,,,,,M,,C,2015-09-04 00:00:00,9,118,3,,,,,,,,,,,
194219,8ecf6e31-b4f0-40b4-b707-ea5753987bf0,,,,,,M,,C,2016-09-05 00:00:00,9,103,9,,,,,,,,,,,
210539,7640c543-1ead-4efa-9273-49ee97cf36b1,,,,,,M,,C,2018-04-16 00:00:00,Leaver,116,,,,31,,,,,,,,
220314,d0707bb9-33b9-421c-973b-639b98afdcd3,,,,,,M,,Leaver,2015-09-03 00:00:00,Leaver,116,8,,,38,,,,8,,,,
212403,7abb94a3-5183-45b1-978e-2f187d448700,,,,,,M,,Leaver,2014-09-01 00:00:00,Leaver,97,,,,,,,,8,,,,
163018,23dc6a8a-56c6-41b7-84a0-5de4844810bb,,,,,,M,,Leaver,2015-09-04 00:00:00,10,112,,,,,,,,2,,,,
193527,d44693c6-052d-4b90-a55c-24c1c300a4f4,,,,,,F,,C,2017-09-06 00:00:00,10,131,10,,,,,,,,,,,
98249,07881baf-d695-4ff7-adb4-f68889b07b12,,,,,,F,,Leaver,2015-09-04 00:00:00,8,111,3,,,,,,,,,,4,
193039,e45b0ee4-226f-40c2-82d3-3b423aa507a6,,,,,,F,,C,2014-09-04 00:00:00,10,126,,,,,,,,,,,1,
224417,e3e9cdf5-736d-4de1-9447-fb3bf1085038,,,,,,F,,C,2018-05-15 00:00:00,Leaver,102,,1,,34,,,,3,,,,
252316,ec2cbe53-8c5b-4847-a6f1-2b17d54f191d,,,,,,F,,C,2017-09-04 00:00:00,10,101,,,,,,,,5,,,18,
259823,a61d8809-57a8-4309-87e3-967d689c285a,,,,,,M,,C,2018-06-18 00:00:00,10,113,,,,,,,,3,,,,
276529,4fcc8fc4-be8a-4ce6-9ef1-63f49133fedb,,,,,,M,,C,2017-09-07 00:00:00,Leaver,120,3,2,2,32,,,,,,,,
