Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual
220227,f4544cbb-5e98-40f5-b416-73296a512e67,,,,,,M,,M,2016-09-01 00:00:00,9
149081,aed12885-602f-44a7-9c2a-b9e352ab5090,,,,,,F,,C,2019-03-15 00:00:00,8
232052,f7d4e42d-17df-430a-b011-0409237680e4,,,,,,M,,C,2020-09-03 00:00:00,8
179690,e3d236ea-8a72-42d3-a246-c7e079380fae,,,,,,F,,Leaver,2019-09-01 00:00:00,Leaver
116004,708fdbb4-5bb2-41be-88f1-dab56c1963a4,,,,,,F,,C,2018-09-25 00:00:00,10
226787,fa48ca1f-f84a-41f9-b7a5-d2584b57d066,,,,,,F,,Leaver,2017-03-09 00:00:00,Leaver
142616,d2d1636b-66c9-4dab-a99d-a364751698f5,,,,,,M,,C,2015-09-03 00:00:00,Leaver
170117,fff0b0f4-bbbc-4274-95b5-9b710a422cad,,,,,,F,,C,2019-09-03 00:00:00,11
140484,5a697b57-01b4-439d-b129-82236e47b4e8,,,,,,M,,C,2020-09-02 00:00:00,11
144020,8a95cea5-c0ba-44a3-8583-02523501dc78,,,,,,F,,C,2017-09-13 00:00:00,11
161068,23a47445-da7a-44ad-b982-e253fe61b69d,,,,,,F,,C,2018-09-05 00:00:00,10
192409,a9dc923b-8dfe-4e04-bff3-c5e988266862,,,,,,F,,C,2019-09-03 00:00:00,9
216467,11f2724e-bb88-482b-b0c0-d1855602fbfc,,,,,,F,,Leaver,2020-09-03 00:00:00,8
273571,17ddeee6-1b3f-40b0-807f-044cb0ef4629,,,,,,F,,C,2018-09-03 00:00:00,8
216445,2665a736-910d-4f09-9d52-10f33dc32ca4,,,,,,M,,Leaver,2020-09-04 00:00:00,Leaver
186360,746962e3-8ad0-445c-af37-cc54f63666f2,,,,,,F,,C,2018-09-05 00:00:00,9
150503,fc7f0758-a818-45c0-b4cf-93ebeda7b088,,,,,,F,,M,2020-09-18 00:00:00,8
163012,79f83452-fbb4-435b-8724-2e2f6007f9ac,,,,,,M,,C,2020-09-03 00:00:00,8
215400,40eb9f65-df20-4b94-a30c-c79245bc584e,,,,,,F,,Leaver,2015-09-01 00:00:00,Leaver
216870,8887cade-6cf7-42e7-b54f-ebcb6926ff45,,,,,,M,,C,2020-09-03 00:00:00,10
191217,c610ba45-7b32-4042-9a90-ef4288a8f705,,,,,,F,,Leaver,2020-09-02 00:00:00,7
179787,eaf07c90-b373-4e8b-acad-d7653f0070f0,,,,,,M,,Leaver,2020-09-02 00:00:00,9
214047,9de60a33-2ac0-4aa6-b4e6-8627db1c30f9,,,,,,M,,C,2015-09-04 00:00:00,10
196479,14e56519-77b7-4786-980f-37e5338c5d6f,,,,,,M,,Leaver,2020-09-11 00:00:00,8
111592,11c55722-103c-4352-bcb7-117cd9a3be18,,,,,,F,,Leaver,2020-09-04 00:00:00,Leaver
203841,07ee4946-e23a-4082-ba46-bd09c596fe05,,,,,,M,,C,2016-09-05 00:00:00,10
210640,bf987939-6ad4-4c51-89a4-348ad5851959,,,,,,F,,C,2018-09-06 00:00:00,9
151037,284cb047-2319-4f9f-ac92-ccd277478f8c,,,,,,F,,C,2018-09-25 00:00:00,9
183752,70a6c256-0a83-48d3-b663-e0d9fa36e837,,,,,,F,,C,2016-09-01 00:00:00,9
173575,a246ed60-219e-4db2-9f8c-5ba047cab027,,,,,,M,,C,2019-09-04 00:00:00,9
215697,3ccdb21b-ae10-4e95-9a92-5e9cb5a04fbb,,,,,,M,,C,2019-09-04 00:00:00,9
125859,1f773e67-6de5-4bf5-96f6-c98f63102d2e,,,,,,M,,C,2017-09-06 00:00:00,12
219305,7536300e-7ce6-4b9f-b9df-1b17cef85bd0,,,,,,M,,C,2020-03-09 00:00:00,7
196965,42ae3ee7-dfe3-46c7-a6da-8345d4857a7d,,,,,,M,,C,2018-09-04 00:00:00,10
179122,d488e450-bb3b-47da-9b3c-7fcfa1937c19,,,,,,F,,Leaver,2016-09-01 00:00:00,Leaver
171622,6d28d74e-bf7c-419e-b6db-09f1362a33ec,,,,,,F,,Leaver,2017-09-01 00:00:00,12
129713,69b53b82-1018-4054-8126-ddbe4a2d1038,,,,,,F,,C,2018-09-07 00:00:00,8
226804,2f369a4f-f445-4210-8650-68b0096d2723,,,,,,F,,C,2020-09-03 00:00:00,9
143456,dd6753eb-27c1-46e9-a3d2-3ef3c60da0ea,,,,,,M,,C,2017-09-06 00:00:00,8
192057,f0ebb1a0-23db-40db-818f-f47e8b1bb4d2,,,,,,M,,C,2020-09-01 00:00:00,10
209427,27894626-300b-4394-844e-06ec09dd4532,,,,,,F,,C,2018-09-06 00:00:00,12
133212,d82f5370-77ca-46b1-93df-378f19decb03,,,,,,M,,C,2020-09-02 00:00:00,12
130247,507edb61-89ae-472d-b421-80e689b5e7a2,,,,,,M,,Leaver,2013-09-04 00:00:00,Leaver
208948,68a6388a-227f-42f7-a032-770b1df6b6bd,,,,,,M,,C,2015-09-03 00:00:00,9
186985,4368f9dc-9ef4-4e69-9bd5-44fc6d403436,,,,,,M,,Leaver,2018-09-07 00:00:00,9
167771,152967fc-8af4-4b1b-b5a3-02c34f197dad,,,,,,M,,Leaver,2019-02-07 00:00:00,Leaver
188552,6dd491b8-247e-4f9a-96b4-d726f588a9bf,,,,,,M,,Leaver,2013-09-03 00:00:00,11
142967,117810ca-ee03-4581-b69a-37d99c14a816,,,,,,F,,Leaver,2015-09-02 00:00:00,Leaver
134436,c406e5b5-bb80-448c-ba38-7862ce884265,,,,,,M,,Leaver,2019-09-04 00:00:00,8
148815,b4240bd9-e0b4-4c2b-8a7f-679e1b7de16a,,,,,,F,,Leaver,2017-09-04 00:00:00,Leaver
172046,899c763c-acc5-4c76-9c7b-4de32990dede,,,,,,F,,Leaver,2018-09-05 00:00:00,7
201491,7ac738fb-debc-4ecb-97e6-d64966510b21,,,,,,M,,C,2018-09-07 00:00:00,10
202532,276e1860-9afe-4127-bded-560166275eea,,,,,,M,,C,2020-09-03 00:00:00,11
189645,529e121d-db44-4c14-bee4-6e50eb696124,,,,,,F,,C,2020-09-02 00:00:00,11
191235,eaa05c66-0678-402e-b95c-31f3d2f7e7d9,,,,,,M,,C,2019-07-08 00:00:00,12
196844,8b82b5d2-fe1f-42b9-beb1-5fac6e0a158a,,,,,,M,,C,2020-09-07 00:00:00,11
242987,48a04dfe-5dfb-4220-b8eb-dcd347d1b4f4,,,,,,F,,C,2018-09-07 00:00:00,Leaver
