Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,Ethnicity,Language,SENprovision,SENNeed1,SENNeed2,SENunitIndicator,ResourcedProvisionIndicator,UniqueLearnerNumber,Postcode,SAON,PAON,Street,Locality,Town,AdministrativeArea,postTown,AddressLine1,AddressLine2,AddressLine3,AddressLine4,AddressLine5,NativeID,FSME on Census Day,Age
183707,98222138-6969-4923-b214-a4d88c492d2e,,,,,,F,,C,2016-09-05 00:00:00,10,WBRI,ENG,N,MLD,,True,False,,,,,,,,,,,,,,,,False,11+
213516,027203c5-289e-4215-905e-9752d4769b32,,,,,,F,,C,2017-09-06 00:00:00,8,AIND,ENG,N,,,,,,,,,,,,,,,,,,,,False,11+
190496,d4a9d346-2686-44bf-9c19-d8e6bd48a0dc,,,,,,M,,C,2015-09-03 00:00:00,6,MOTH,URD,N,,,,,,,,,,,,,,,,,,,,False,10+
191042,d346d080-8aa0-403c-b5bc-3a3b6e328643,,,,,,F,,C,2016-09-05 00:00:00,11,APKN,ENG,N,,,,,,,,,,,,,,,,,,,,False,13+
118934,74ae579b-6d4f-4a27-9c7d-c9949287cd43,,,,,,M,,C,2015-09-04 00:00:00,11,BAFR,URD,K,SPLD,,,,,,,,,,,,,,,,,,,False,13+
234441,0f57342e-a560-4259-a48a-7debf743b547,,,,,,M,,C,2011-09-07 00:00:00,9,AIND,ENG,N,,,False,False,,,,,,,,,,,,,,,,False,11+
192409,ff467114-c68f-43bb-86b3-96f2f731049e,,,,,,F,,C,2013-09-03 00:00:00,10,WBRI,ENG,N,,,False,False,,,,,,,,,,,,,,,,False,16+
206752,6dfc3613-2972-48e0-bac1-3e227dcbb5e6,,,,,,F,,C,2014-09-01 00:00:00,7,APKN,ENG,N,,,,False,,,,,,,,,,,,,,,,False,13+
219064,76820a12-32e7-4428-b262-41dd69662f61,,,,,,M,,C,2011-09-07 00:00:00,14,AIND,URD,N,,,False,False,,,,,,,,,,,,,,,,False,14+
178986,0d649a95-8fe4-40fd-9ac4-1c0829c41caa,,,,,,F,,C,2015-09-04 00:00:00,6,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,12+
93832,29ebd8cd-b13e-4d90-bc09-f90924eb9dc6,,,,,,F,,C,2015-12-08 00:00:00,6,CHNE,ENG,K,SPLD,SLCN,False,False,,,,,,,,,,,,,,,,True,13+
98108,915f21ea-a826-429d-8114-1d042128c11c,,,,,,F,,C,2015-09-04 00:00:00,9,WBRI,ENG,N,,,,,,,,,,,,,,,,,,,,False,13+
177661,af9ef9cd-c2ea-4ed9-8340-ced8380c0b13,,,,,,F,,C,2016-09-05 00:00:00,7,APKN,ENG,N,SPLD,SLCN,,False,,,,,,,,,,,,,,,,False,10+
