Deprivation indicator - IDACI score,DfE Establishment Number,Is the pupil disadvantaged?,Is the pupil looked after?,KS2 English PS,KS2 English TA level,KS2 English level (finely graded),KS2 Mathematics TA level,KS2 Mathematics level (finely graded),KS2 Maths PS,KS2 Prior Band,SEN,UPN,KS2  ENGLISH (KS2),KS2  MATHEMATICS (KS2),KS2 APS (VA),KS2 APS cubed,KS2 APS squared,KS2 ENGLISH TA,KS2 English PS deviation,KS2 MATHEMATICS TA,KS2 Maths PS deviation,KS2 Reading PS,KS2 Reading TA level,KS2 Reading level (finely graded),KS2 mathematics (finely graded)
0,772259576,0,0,25,5,5.42,5,4.59,24,2,N,d8eb02cb-4568-4666-a2bf-28a12234eb17,,,,,,,,,,,,,
0,824344365,0,0,32,5,5,5,5.21,30,3,N,0df44ffb-0d76-4ba1-98a4-042e0b2c224a,,,,,,,,,,,,,
0,732330697,0,0,23,4,5.19,4,5.75,25,3,N,8692d648-d740-4238-8d49-4635d2bd8700,,,,,,,,,,,,,
0,743440977,0,0,15,,5.35,4,5.79,14,3,N,1a2c7684-a4ab-4f10-894b-7ced5af60a94,,,,,,,,,,,,,
0,775965239,0,0,23,4,4.83,2,4.38,21,2,K,a87d34d1-1bd5-46b4-aaa1-89b876a3dc9c,,,,,,,,,,,,,
0,766725389,0,0,18,3,4.41,3,4.34,18,3,N,5d48afee-4513-4cf9-8288-224e724f9608,,,,,,,,,,,,,
0,703579153,0,0,25,4,4.79,5,5.38,29,2,N,d7fe0ec2-1042-40cd-93b4-d121b34ff53d,,,,,,,,,,,,,
0,652709717,1,0,34,5,5.13,5,3.07,33,2,N,1f7606c5-1d89-40cc-8dbd-594e8d1f7565,,,,,,,,,,,,,
0,813883511,0,0,34,5,4.07,W,1.5,34,3,N,e57a5dd2-b1d7-4a21-a272-f0f14af91f8e,,,,,,,,,,,,,
0,671719536,0,0,28,5,4.55,5,4.41,29,3,N,4eef6164-60ce-45fc-85d6-29acfddeeb3c,,,,,,,,,,,,,
0,797712383,0,0,34,5,4.14,5,4.56,32,3,N,dccbeb50-f28a-4b4a-90de-f35a83187f7a,,,,,,,,,,,,,
0,822399078,0,0,16,4,4.83,3,5.79,19,3,N,85d128dc-4d36-4ef9-b6b0-fd53a8072da8,,,,,,,,,,,,,
0,676986506,0,0,14,3,4.31,2,5.67,20,3,N,342ced10-0ea5-4ac7-bc0e-dc76aa54fbcd,,,,,,,,,,,,,
0,646114788,1,0,25,4,5.13,3,5.83,20,2,K,fbadf6ca-7d78-4dab-a520-f054151fd3c6,,,,,,,,,,,,,
