LAEstab (anon),Estab (Anon),School Name,Type,Status,Area,Postcode,Electoral Ward*
765638672,170436,Holmer Green Senior School,Upper,Maintained,Chiltern,HP15 6SP,"The Wooburns, Bourne End and Hedsor"
714526399,227136,Cottesloe School - The,,Academy,Chiltern,LU7 0NY,Penn Wood and Old Amersham
765139963,189210,Buckinghamshire University Technical College,Grammar,Maintained,Wycombe,HP21 8PB,Wing
661836702,189042,Cressex Community School,All through,Academy,Wycombe,HP6 5HA,Winslow
775062328,171444,Sir Henry Floyd Grammar School,Grammar,Maintained,Wycombe,HP21 7RP,The Risboroughs
805645287,168210,Bourne End Academy,,Academy,Aylesbury Vale,HP9 1SJ,Stone and Waddesdon
593553937,170730,John Hampden Grammar School (Boys),UTC,Academy,Chiltern,HP11 1SZ,Abbey
692339625,168210,Amersham School,,Academy,Wycombe,HP15 6SP,2 sites: Abbey and Aylesbury North-West
679590130,226968,Cressex Community School,All through,Academy,Wycombe/Aylesbury Vale,HP6 5HA,Marlow
561614699,189000,Aylesbury High School (Girls),PRU,Academy,All,HP21 7NH,Buckingham West
754831624,168042,St Michael's Catholic School,All through,Academy,All,HP15 7UB,Beaconsfield
736464728,227136,Aylesbury Grammar School (Boys),Grammar,Maintained,Wycombe,HP21 8PE,Buckingham West
761621526,170730,Sir William Ramsay School,Grammar,Academy,Aylesbury Vale,HP15 7UB,Chess Valley
725173567,189126,Sir William Borlase's Grammar School,All through,Academy,Chiltern,MK18 3GH,Buckingham West
460931499,168546,Royal Latin School,,,Chiltern,MK18 1AX,
793590852,168378,Great Marlow School,Upper,Academy,Aylesbury Vale,SL7 1JE,Aylesbury South-East
661416980,171024,Holmer Green Senior School,,Academy,,HP7 9HH,2 sites: Abbey and Aylesbury North-West
790738855,189126,Misbourne School - The,Upper,Academy,Wycombe,HP16 0BN,Aylesbury South-East
824599987,171444,Bourne End Academy,Upper,Free,Aylesbury Vale,SL8 5BW,Amersham and Chesham Bois
709839114,170730,Burnham Grammar School,Grammar,Academy,Chiltern,SL9 8TP,Penn Wood and Old Amersham
707460110,168000,Burnham Grammar School,Upper,Maintained,Wycombe,SL9 8TP,Beaconsfield
617520940,197442,Buckinghamshire University Technical College,Grammar,,Wycombe/Aylesbury Vale,MK18 1AT,Buckingham West
799528642,189126,Beaconsfield School - The,Grammar,,Aylesbury Vale,HP9 1RR,2 sites: Abbey and Aylesbury North-West
735808113,168378,Royal Latin School,Grammar,Academy,Chiltern,MK18 1AX,Aylesbury South-East
