Estab,UPN,Surname,Forename,Middlenames,PreferredSurname,FormerSurname,Gender,DoB,EnrolStatus,EntryDate,NCyearActual,TermlySessionsPossible,T_Reason_I,T_Reason_M,T_Reason_R,T_Reason_S,T_Reason_T,T_Reason_H,T_Reason_E,T_Reason_C,T_Reason_G,T_Reason_U,T_Reason_O,T_Reason_N
116169,ec7bba37-6d14-4a49-9f52-7db5a580bbc2,,,,,,F,,C,2014-09-04 00:00:00,9,117,3,,,,,,,,,,,
224499,04cd9706-d637-47fe-9945-505cdbe56527,,,,,,F,,C,2018-09-05 00:00:00,10,131,1,,,,,,,,,,,
182245,a695be1a-1801-4a15-b0d9-268a879b9f75,,,,,,F,,C,2014-09-05 00:00:00,11,118,4,1,,,,,,2,,,6,
201103,3ff3d9a2-89fb-4f6e-bad6-4a1d730b0a47,,,,,,M,,C,2016-09-05 00:00:00,7,99,,,,,,,,,,,,
214107,a5478f21-5688-4f18-a852-e9800ba3a7d0,,,,,,F,,C,2018-09-25 00:00:00,8,136,,,,,,,,,,,,
170137,644fcf09-ba26-4465-82da-8805a2d23e9d,,,,,,F,,C,2018-09-07 00:00:00,Leaver,112,,,,,,,,,,,4,
271268,9377341c-90d1-4084-9514-1f55f9279484,,,,,,F,,C,2015-09-01 00:00:00,8,142,11,2,,,,,,,,,6,
197098,17e49a5d-3239-47b5-ab9d-216c7200a80d,,,,,,F,,Leaver,2015-09-04 00:00:00,7,137,,,,,,,,2,,,5,
201580,65ef7efb-724f-4899-afe2-f165469d6a1a,,,,,,M,,C,2014-09-05 00:00:00,9,120,,,,,,,,,,,,
176018,8e9430e6-f7b0-4555-9342-64a6f0c5b4a3,,,,,,M,,C,2017-09-04 00:00:00,9,123,1,,,,,,,,,,,
214960,c71ed38a-ab59-442b-adda-2aecb6632633,,,,,,F,,C,2014-09-01 00:00:00,9,140,,2,,,,,,,,,6,
187992,e74e2339-7555-4409-baeb-ca0931b7dc6f,,,,,,F,,C,2018-09-06 00:00:00,Leaver,131,4,,,,,,,,,,,
199123,ae421aaa-f144-4b4e-9021-c9eaf648a124,,,,,,M,,C,2014-09-03 00:00:00,Leaver,138,2,,,,,,,2,,,,
188146,d600da7b-b72c-42b7-8361-0527566535f7,,,,,,F,,C,2018-09-06 00:00:00,9,131,9,,,,,,,,,,,
278323,88c8100f-6085-485f-8576-7fb3436438ae,,,,,,F,,C,2014-09-03 00:00:00,10,136,2,,,,,,,,,,,
173077,3b82c3af-7b06-4be0-84af-12857f6e1783,,,,,,M,,C,2014-09-03 00:00:00,Leaver,127,,,,,,,,,,,,
197533,4e2c26f3-5272-4ea6-985b-41f45422d4a4,,,,,,M,,C,2015-09-01 00:00:00,8,138,,2,,,,,,3,,,6,
192696,74c91e62-ccb2-46a1-a241-075eab8b3514,,,,,,M,,C,2018-09-01 00:00:00,11,137,7,1,,,,,,,,,5,
